City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Cabedelo,BR,2022-04-05 17:29:58,-6.9811,-34.8339,86.67,70,55,13.31
226,Provideniya,RU,2022-04-05 17:29:58,64.3833,-173.3,-0.54,80,85,6.33
227,Faanui,PF,2022-04-05 17:20:25,-16.4833,-151.75,82.92,76,49,21.09
228,Ugoofaaru,MV,2022-04-05 17:29:59,5.6667,73.0,83.61,68,99,2.35
229,Kempele,FI,2022-04-05 17:29:59,64.9131,25.5034,33.82,93,100,11.5
230,Trelew,AR,2022-04-05 17:29:59,-43.249,-65.3051,76.95,30,48,26.6
231,Deputatskiy,RU,2022-04-05 17:30:00,69.3,139.9,-18.29,100,100,2.15
232,Saint-Pierre,RE,2022-04-05 17:30:00,-21.3393,55.4781,78.48,86,0,5.75
233,Banda Aceh,ID,2022-04-05 17:25:03,5.5577,95.3222,77.31,85,100,4.14
234,Stornoway,GB,2022-04-05 17:30:01,58.2093,-6.3865,40.96,94,75,9.22
235,Hervey Bay,AU,2022-04-05 17:30:02,-25.2986,152.8535,74.26,75,2,12.91
236,Geraldton,AU,2022-04-05 17:30:03,-28.7667,114.6,66.61,68,5,12.66
237,Faya,SA,2022-04-05 17:30:03,18.3851,42.4509,71.71,19,1,6.89
238,Keti Bandar,PK,2022-04-05 17:30:04,24.1447,67.4497,80.78,68,73,10.76
239,Coahuayana,MX,2022-04-05 17:30:05,18.7333,-103.6833,85.71,40,8,7.83
240,La Ronge,CA,2022-04-05 17:30:06,55.1001,-105.2842,39.45,56,75,14.97
241,Constantine,DZ,2022-04-05 17:26:07,36.365,6.6147,72.81,35,75,16.11
242,South Milwaukee,US,2022-04-05 17:27:46,42.9106,-87.8606,45.36,80,100,13.8
243,Beloha,MG,2022-04-05 17:30:07,-25.1667,45.05,74.5,79,32,3.15
244,Sorland,NO,2022-04-05 17:30:07,67.667,12.6934,32.31,63,64,28.52
245,Kurilsk,RU,2022-04-05 17:30:08,45.2333,147.8833,38.79,93,21,13.2
246,Butwal,NP,2022-04-05 17:30:08,27.7006,83.4484,77.13,23,12,6.53
247,Arlit,NE,2022-04-05 17:30:09,18.7369,7.3853,97.5,4,50,11.61
248,Les Cayes,HT,2022-04-05 17:30:09,18.2,-73.75,82.35,67,64,11.1
249,Mastic Beach,US,2022-04-05 17:30:10,40.7668,-72.8521,54.48,54,100,10.36
250,Vardo,NO,2022-04-05 17:30:11,70.3705,31.1107,31.98,74,75,27.63
251,Trojan,PL,2022-04-05 17:30:11,53.7897,20.2404,34.39,88,100,4.52
252,Namatanai,PG,2022-04-05 17:30:11,-3.6667,152.4333,77.97,90,100,7.47
253,Ligayan,PH,2022-04-05 17:30:12,4.6533,119.4706,81.28,80,83,17.2
254,Shelbyville,US,2022-04-05 17:27:43,35.4834,-86.4603,61.52,82,100,17.27
255,Avera,US,2022-04-05 17:30:12,33.194,-82.5271,67.51,88,88,17.47
256,Lagoa,PT,2022-04-05 17:30:13,39.05,-27.9833,59.94,79,69,10.45
257,Aykhal,RU,2022-04-05 17:30:13,66.0,111.5,-10.21,100,84,4.23
258,Fenelon Falls,CA,2022-04-05 17:30:13,44.5334,-78.7496,49.23,75,100,9.08
259,Sinnamary,GF,2022-04-05 17:30:14,5.3833,-52.95,79.63,84,97,10.11
260,Pasighat,IN,2022-04-05 17:30:14,28.0667,95.3333,68.29,91,100,4.59
261,Mount Gambier,AU,2022-04-05 17:30:16,-37.8333,140.7667,57.11,94,100,10.36
262,Onguday,RU,2022-04-05 17:30:16,50.75,86.15,35.46,86,35,3.62
263,Guerrero Negro,MX,2022-04-05 17:30:16,27.9769,-114.0611,71.19,49,26,3.02
264,Le Port,RE,2022-04-05 17:30:17,-20.9373,55.2919,78.8,81,90,5.12
265,Lazaro Cardenas,MX,2022-04-05 17:30:17,17.9583,-102.2,80.8,51,3,8.1
266,Pincher Creek,CA,2022-04-05 17:30:17,49.4833,-113.952,42.49,34,0,34.52
267,Puerto El Triunfo,SV,2022-04-05 17:30:18,13.2833,-88.55,92.26,58,36,12.03
268,Bilibino,RU,2022-04-05 17:30:18,68.0546,166.4372,-19.68,91,7,4.36
269,Nantucket,US,2022-04-05 17:30:19,41.2835,-70.0995,53.74,47,0,12.66
270,Rapid City,US,2022-04-05 17:31:19,44.0805,-103.231,48.45,29,0,36.82
271,Kahone,SN,2022-04-05 17:31:19,14.15,-16.0333,95.02,24,0,9.22
272,Nara,JP,2022-04-05 17:31:20,34.6851,135.8049,56.52,54,100,0.85
273,Ballina,AU,2022-04-05 17:30:12,-28.8667,153.5667,68.18,96,100,0.0
274,Kamaishi,JP,2022-04-05 17:31:20,39.2667,141.8833,44.01,91,54,8.9
275,Mackay,AU,2022-04-05 17:31:21,-21.15,149.2,78.78,73,75,14.97
276,San Andres,CO,2022-04-05 17:31:21,12.5847,-81.7006,86.02,70,40,13.8
277,Flinders,AU,2022-04-05 17:31:21,-34.5833,150.8552,67.37,88,100,5.01
278,Roma,US,2022-04-05 17:31:22,43.2128,-75.4557,59.72,47,0,4.61
279,Nieuwpoort,BE,2022-04-05 17:31:22,51.1244,2.7735,54.09,85,99,15.95
280,Holme,DK,2022-04-05 17:31:22,56.1138,10.1725,40.57,66,100,11.97
281,Bonavista,CA,2022-04-05 17:31:23,48.6499,-53.1147,35.58,92,99,15.77
282,Alugan,PH,2022-04-05 17:31:23,12.2188,125.4808,78.76,88,100,12.39
283,Svetlogorsk,BY,2022-04-05 17:31:24,52.6333,29.7333,36.41,92,100,13.87
284,Port Blair,IN,2022-04-05 17:31:24,11.6667,92.75,78.84,94,100,2.3
285,Teya,RU,2022-04-05 17:31:25,60.3778,92.6267,35.35,99,100,4.85
286,Synya,RU,2022-04-05 17:31:25,65.3718,58.0387,12.4,96,100,6.38
287,Outjo,NA,2022-04-05 17:31:25,-20.1167,16.15,71.11,33,1,7.23
288,Coihaique,CL,2022-04-05 17:27:36,-45.5752,-72.0662,59.61,82,100,5.75
289,Kaduqli,SD,2022-04-05 17:31:26,11.0167,29.7167,96.87,17,56,2.51
290,Leningradskiy,RU,2022-04-05 17:31:26,69.3833,178.4167,-13.41,89,16,9.46
291,Marsa Matruh,EG,2022-04-05 17:31:27,31.3525,27.2453,97.0,9,100,4.61
292,Lata,PT,2022-04-05 17:31:27,40.1629,-8.3327,55.81,51,96,5.55
293,Richards Bay,ZA,2022-04-05 17:31:27,-28.783,32.0377,72.61,88,5,4.92
