City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Baruun-Urt,MN,46.6806,113.2792,56.98,30,55,20.29,broken clouds
284,Maine-Soroa,NE,13.2114,12.0241,107.87,4,69,10.8,broken clouds
285,Langenburg,DE,49.2544,9.8458,46.22,57,75,16.11,broken clouds
286,Aklavik,CA,68.2191,-135.0107,2.01,81,30,17.56,scattered clouds
287,Amberley,US,39.2048,-84.428,38.95,84,100,11.5,overcast clouds
288,Kopervik,NO,59.2835,5.3067,44.58,75,75,29.93,broken clouds
289,Almaznyy,RU,48.0448,40.045,61.75,34,80,10.47,broken clouds
290,Vao,NC,-22.6667,167.4833,77.45,84,16,24.02,few clouds
291,Naze,JP,28.3667,129.4833,63.37,77,4,9.95,clear sky
292,Flin Flon,CA,54.7682,-101.865,32.67,81,100,13.35,overcast clouds
293,Havoysund,NO,70.9963,24.6622,37.63,98,100,27.36,overcast clouds
294,Ahuimanu,US,21.4447,-157.8378,73.36,78,20,12.66,few clouds
295,Amalapuram,IN,16.5833,82.0167,80.64,86,38,2.17,scattered clouds
296,Changping,CN,40.2186,116.2197,65.84,44,92,3.18,overcast clouds
297,Nouadhibou,MR,20.931,-17.0347,65.16,82,0,19.98,clear sky
298,Dicabisagan,PH,17.0818,122.4157,76.32,91,96,4.12,overcast clouds
299,Hami,CN,42.8,93.45,68.27,14,50,7.61,scattered clouds
300,Chokurdakh,RU,70.6333,147.9167,-25.08,100,73,4.68,broken clouds
301,Victoria,HK,22.2855,114.1577,75.18,71,0,11.01,clear sky
302,Oistins,BB,13.0667,-59.5333,84.29,65,75,23.02,broken clouds
303,Ram Das,IN,31.9661,74.9047,93.11,10,3,6.24,clear sky
304,Durazno,UY,-33.4131,-56.5006,69.75,94,75,4.61,broken clouds
305,Port Hedland,AU,-20.3167,118.5667,84.25,70,48,16.11,scattered clouds
306,Caravelas,BR,-17.7125,-39.2481,86.72,57,71,4.74,broken clouds
307,Porec,HR,45.2258,13.5939,63.25,62,100,13.4,overcast clouds
308,Asau,RO,46.4333,26.4,69.28,66,96,12.06,overcast clouds
309,Antofagasta,CL,-23.65,-70.4,61.88,65,34,8.1,scattered clouds
310,Nsanje,MW,-16.92,35.262,83.66,63,79,6.98,broken clouds
311,Nioro,GM,13.35,-15.75,107.78,7,4,10.13,clear sky
312,Porto Novo,BJ,6.4965,2.6036,90.61,55,80,11.18,broken clouds
313,Qandala,SO,11.472,49.8728,83.93,63,100,2.62,overcast clouds
314,Praia,CV,14.9215,-23.5087,88.34,27,0,17.27,clear sky
315,Egvekinot,RU,66.3167,-179.1667,-9.69,96,87,5.39,overcast clouds
316,Marzuq,YE,14.4,46.4667,81.86,27,1,21.09,clear sky
317,Broome,US,42.2506,-75.833,44.2,77,100,8.05,overcast clouds
318,Luderitz,NA,-26.6481,15.1594,70.52,52,0,4.79,clear sky
319,Arman,RU,59.7,150.1667,10.22,96,78,5.66,broken clouds
320,Bar-Le-Duc,FR,48.75,5.1667,43.18,82,78,9.75,broken clouds
321,Maldonado,UY,-34.6667,-54.9167,74.59,55,0,4.43,clear sky
322,Totma,RU,59.9747,42.7642,41.22,97,100,6.78,overcast clouds
323,Mincivan,AZ,39.0294,46.7185,59.65,74,98,1.92,overcast clouds
324,Honiara,SB,-9.4333,159.95,77.61,85,63,5.14,broken clouds
325,General Pico,AR,-35.6566,-63.7568,76.77,55,0,16.13,clear sky
326,Punta De Piedra,VE,7.6176,-71.4916,91.71,37,94,7.76,overcast clouds
327,Mangan,IN,27.5167,88.5333,69.73,91,97,0.81,overcast clouds
328,Zhigansk,RU,66.7697,123.3711,6.19,91,84,9.75,broken clouds
